sentence_id,source_file,product_id,category,brand,product_name,rating,review_date,original_sentence,translated_sentence,emoji,emoji_sentiment,aspect_keywords,clean_sentence,relevant,text_sentiment,final_sentiment,normalized_sentence,translation_source,emoji_unique,emoji_count,emoji_unique_count,emoji_meaning,emoji_summary,emoji_category,emoji_category_unique,emoji_score,emoji_intensity,relevance_status,relevance_reason,stopword_sentence,token_before,token_after,removed_tokens,primary_aspect,aspect_count,aspect_source,aspect_match_keyword,lemma_sentence,google_translation,text_score,final_score
1,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-07-26,The aligned taste is very good,The aligned taste is very good,[],neutral,['taste'],the aligned taste is very good,,positive,positive,The aligned taste is very good,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,aligned taste very good,6,4,2,taste,1,{'taste': 'keyword'},{'taste': ['taste']},align taste very good,,0.9571295976638794,0.7657036781311035
2,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-07-26,"Fast energy, eat full for a long time",Provides quick energy and keeps you full for a long time.,[],neutral,"['effectiveness', 'delivery']",provides quick energy and keeps you full for a long time,,positive,positive,"Fast energy, eat full for a long time",manual,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,provides quick energy keeps full long time,11,7,4,effectiveness,2,"{'effectiveness': 'keyword', 'delivery': 'keyword'}","{'effectiveness': ['energy'], 'delivery': ['quick']}",provide quick energy keep full long time,"Fast energy, eat full for a long time",0.8699346780776978,0.6959477424621583
4,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-07-26,"Fast delivery, carefully packed, not too sweet taste","Fast delivery, carefully packed, not too sweet taste",[],neutral,"['taste', 'delivery', 'packaging']","fast delivery, carefully packed, not too sweet taste",,positive,positive,"Fast delivery, carefully packed, not too sweet taste",google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,"fast delivery, carefully packed, not too sweet taste",8,8,0,taste,3,"{'taste': 'keyword', 'delivery': 'keyword', 'packaging': 'keyword'}","{'taste': ['sweet', 'taste'], 'delivery': ['delivery', 'fast'], 'packaging': ['packed']}","fast delivery, carefully pack, not too sweet taste",,0.8952611088752747,0.7162088871002198
5,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-10-21,"You are quite delicious and soft, there are small rice grains inside, eating at the end of the cake will find it a bit sweet","You are quite delicious and soft, there are small rice grains inside, eating at the end of the cake will find it a bit sweet",[],neutral,['taste'],"you are quite delicious and soft, there are small rice grains inside, eating at the end of the cake will find it a bit sweet",,positive,positive,"You are quite delicious and soft, there are small rice grains inside, eating at the end of the cake will find it a bit sweet",google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,"quite delicious soft, small rice grains, eating end cake find sweet",25,11,14,taste,1,{'taste': 'keyword'},"{'taste': ['delicious', 'sweet']}","quite delicious soft, small rice grain, eat end cake find sweet",,0.9601007103919983,0.7680805683135987
6,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-04-04,"Haven't used it yet, so I don't know how it tastes and is effective, look at the quality cake","Have not used it yet, so I do not know how it tastes and is effective, look at the quality cake",[],neutral,"['quality', 'effectiveness', 'taste']","have not used it yet, so i do not know how it tastes and is effective, look at the quality cake",,negative,negative,"Have not used it yet, so I do not know how it tastes and is effective, look at the quality cake",google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,"not used yet, not know tastes effective, look quality cake",21,10,11,quality,3,"{'quality': 'keyword', 'effectiveness': 'keyword', 'taste': 'keyword'}","{'quality': ['quality'], 'effectiveness': ['effective'], 'taste': ['tastes']}","not use yet, not know taste effective, look quality cake",,-0.6142945289611816,-0.49143562316894535
7,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-07-27,Eat when lazy to drink whey,Eat when lazy to drink whey,[],neutral,[],eat when lazy to drink whey,,neutral,neutral,Eat when lazy to drink whey,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,eat lazy drink whey,6,4,2,,0,{},{},eat lazy drink whey,,0.0,0.0
8,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-07-27,"Less sweet, quite easy to eat","Less sweet, quite easy to eat",[],neutral,['taste'],"less sweet, quite easy to eat",,positive,positive,"Less sweet, quite easy to eat",google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,"less sweet, quite easy eat",6,5,1,taste,1,{'taste': 'keyword'},{'taste': ['sweet']},"less sweet, quite easy eat",,0.8395141363143921,0.6716113090515137
9,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-23,"And the sweet fruit has come when EP Kho Bau and the song with the same topic with the same name marked the turning point to help him switch from a Performing Artist specializing in Performing, becoming a Streaming Artist that spreads the power","And the sweet fruit has come when EP Kho Bau and the song with the same topic with the same name marked the turning point to help him switch from a Performing Artist specializing in Performing, becoming a Streaming Artist that spreads the power",[],neutral,"['effectiveness', 'taste']","and the sweet fruit has come when ep kho bau and the song with the same topic with the same name marked the turning point to help him switch from a performing artist specializing in performing, becoming a streaming artist that spreads the power",,positive,positive,"And the sweet fruit has come when EP Kho Bau and the song with the same topic with the same name marked the turning point to help him switch from a Performing Artist specializing in Performing, becoming a Streaming Artist that spreads the power",google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,"sweet fruit come ep kho bau song topic name marked turning point help switch performing artist specializing performing, becoming streaming artist spreads power",44,23,21,effectiveness,2,"{'effectiveness': 'keyword', 'taste': 'keyword'}","{'effectiveness': ['help'], 'taste': ['sweet']}","sweet fruit come ep kho bau song topic name mark turn point help switch perform artist specialize performing, become stream artist spread power",,0.8446944952011108,0.6757555961608888
10,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-23,Powerful in space space,Very powerful.,[],neutral,[],very powerful,,positive,positive,Powerful in space space,manual,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,very powerful,2,2,0,,0,{},{},very powerful,Powerful in space space,0.8977527618408203,0.7182022094726563
11,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-01-03,"Delicious, easy to eat","Delicious, easy to eat",[],neutral,['taste'],"delicious, easy to eat",,positive,positive,"Delicious, easy to eat",google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,"delicious, easy eat",4,3,1,taste,1,{'taste': 'keyword'},{'taste': ['delicious']},"delicious, easy eat",,0.9676662683486938,0.7741330146789551
12,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-01-03,"Whether it is easy to digest or not, it will be calculated later","Whether it is easy to digest or not, it will be calculated later",[],neutral,[],"whether it is easy to digest or not, it will be calculated later",,neutral,neutral,"Whether it is easy to digest or not, it will be calculated later",google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,"easy digest not, calculated later",13,5,8,,0,{},{},"easy digest not, calculate later",,0.0,0.0
13,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-01-03,You can re-evaluate it,You can re-evaluate it,[],neutral,[],you can re-evaluate it,,neutral,neutral,You can re-evaluate it,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,- evaluate,4,2,2,,0,{},{},- evaluate,,0.0,0.0
14,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-09-21,Delicious but out of taste I want to buy,Delicious but out of taste I want to buy,[],neutral,['taste'],delicious but out of taste i want to buy,,positive,positive,Delicious but out of taste I want to buy,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,delicious taste want buy,9,4,5,taste,1,{'taste': 'keyword'},"{'taste': ['delicious', 'taste']}",delicious taste want buy,,0.7914880514144897,0.6331904411315918
15,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Seller fast response to order & fast post out item,Seller fast response to order & fast post out item,[],neutral,"['delivery', 'seller']",seller fast response to order & fast post out item,,neutral,neutral,Seller fast response to order & fast post out item,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,seller fast response order & fast post item,10,8,2,delivery,2,"{'delivery': 'keyword', 'seller': 'keyword'}","{'delivery': ['fast'], 'seller': ['response', 'seller']}",seller fast response order & fast post item,,0.0,0.0
16,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Good packaging with box and bubblewrap,Good packaging with box and bubblewrap,[],neutral,['packaging'],good packaging with box and bubblewrap,,positive,positive,Good packaging with box and bubblewrap,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,good packaging box bubblewrap,6,4,2,packaging,1,{'packaging': 'keyword'},"{'packaging': ['box', 'bubblewrap', 'packaging']}",good packaging box bubblewrap,,0.9491792321205139,0.7593433856964111
17,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Fast delivery,Fast delivery,[],neutral,['delivery'],fast delivery,,positive,positive,Fast delivery,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,fast delivery,2,2,0,delivery,1,{'delivery': 'keyword'},"{'delivery': ['delivery', 'fast']}",fast delivery,,0.8433142304420471,0.6746513843536377
