sentence_id,source_file,product_id,category,brand,product_name,rating,review_date,original_sentence,translated_sentence,emoji,emoji_sentiment,aspect_keywords,clean_sentence,relevant,text_sentiment,final_sentiment,normalized_sentence,translation_source,emoji_unique,emoji_count,emoji_unique_count,emoji_meaning,emoji_summary,emoji_category,emoji_category_unique,emoji_score,emoji_intensity,relevance_status,relevance_reason,stopword_sentence,token_before,token_after,removed_tokens,primary_aspect,aspect_count,aspect_source,aspect_match_keyword,lemma_sentence,google_translation,text_score,final_score
1,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-07-26,The aligned taste is very good,the aligned taste is very good,[],neutral,['taste'],the aligned taste is very good,,positive,positive,The aligned taste is very good,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,aligned taste very good,6,4,2,taste,1,{'taste': 'keyword'},{'taste': ['taste']},align taste very good,,0.9571295976638794,0.7657036781311035
5,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-10-21,"You are quite delicious and soft, there are small rice grains inside, eating at the end of the cake will find it a bit sweet","you are quite delicious and soft, there are small rice grains inside, eating at the end of the cake will find it a bit sweet",[],neutral,['taste'],"you are quite delicious and soft, there are small rice grains inside, eating at the end of the cake will find it a bit sweet",,positive,positive,"You are quite delicious and soft, there are small rice grains inside, eating at the end of the cake will find it a bit sweet",google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,"quite delicious soft, small rice grains, eating end cake find sweet",25,11,14,taste,1,{'taste': 'keyword'},"{'taste': ['delicious', 'sweet']}","quite delicious soft, small rice grain, eat end cake find sweet",,0.9601007103919983,0.7680805683135987
6,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2026-04-04,"Haven't used it yet, so I don't know how it tastes and is effective, look at the quality cake","have not used it yet, so i do not know how it tastes and is effective, look at the quality cake",[],neutral,"['quality', 'effectiveness', 'taste']","have not used it yet, so i do not know how it tastes and is effective, look at the quality cake",,negative,negative,"Have not used it yet, so I do not know how it tastes and is effective, look at the quality cake",google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,"not used yet, not know tastes effective, look quality cake",21,10,11,quality,3,"{'quality': 'keyword', 'effectiveness': 'keyword', 'taste': 'keyword'}","{'quality': ['quality'], 'effectiveness': ['effective'], 'taste': ['tastes']}","not use yet, not know taste effective, look quality cake",,-0.6142945289611816,-0.49143562316894535
7,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-07-27,Eat when lazy to drink whey,eat when lazy to drink whey,[],neutral,[],eat when lazy to drink whey,,neutral,neutral,Eat when lazy to drink whey,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,eat lazy drink whey,6,4,2,,0,{},{},eat lazy drink whey,,0.0,0.0
8,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-07-27,"Less sweet, quite easy to eat","less sweet, quite easy to eat",[],neutral,['taste'],"less sweet, quite easy to eat",,positive,positive,"Less sweet, quite easy to eat",google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,"less sweet, quite easy eat",6,5,1,taste,1,{'taste': 'keyword'},{'taste': ['sweet']},"less sweet, quite easy eat",,0.8395141363143921,0.6716113090515137
9,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-23,"And the sweet fruit has come when EP Kho Bau and the song with the same topic with the same name marked the turning point to help him switch from a Performing Artist specializing in Performing, becoming a Streaming Artist that spreads the power","and the sweet fruit has come when ep kho bau and the song with the same topic with the same name marked the turning point to help him switch from a performing artist specializing in performing, becoming a streaming artist that spreads the power",[],neutral,"['effectiveness', 'taste']","and the sweet fruit has come when ep kho bau and the song with the same topic with the same name marked the turning point to help him switch from a performing artist specializing in performing, becoming a streaming artist that spreads the power",,positive,positive,"And the sweet fruit has come when EP Kho Bau and the song with the same topic with the same name marked the turning point to help him switch from a Performing Artist specializing in Performing, becoming a Streaming Artist that spreads the power",google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,"sweet fruit come ep kho bau song topic name marked turning point help switch performing artist specializing performing, becoming streaming artist spreads power",44,23,21,effectiveness,2,"{'effectiveness': 'keyword', 'taste': 'keyword'}","{'effectiveness': ['help'], 'taste': ['sweet']}","sweet fruit come ep kho bau song topic name mark turn point help switch perform artist specialize performing, become stream artist spread power",,0.8446944952011108,0.6757555961608888
10,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-23,Powerful in space space,very powerful.,[],neutral,[],very powerful,,positive,positive,Powerful in space space,manual,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,very powerful,2,2,0,,0,{},{},very powerful,Powerful in space space,0.8977527618408203,0.7182022094726563
11,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-01-03,"Delicious, easy to eat","delicious, easy to eat",[],neutral,['taste'],"delicious, easy to eat",,positive,positive,"Delicious, easy to eat",google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,"delicious, easy eat",4,3,1,taste,1,{'taste': 'keyword'},{'taste': ['delicious']},"delicious, easy eat",,0.9676662683486938,0.7741330146789551
12,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-01-03,"Whether it is easy to digest or not, it will be calculated later","whether it is easy to digest or not, it will be calculated later",[],neutral,[],"whether it is easy to digest or not, it will be calculated later",,neutral,neutral,"Whether it is easy to digest or not, it will be calculated later",google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,"easy digest not, calculated later",13,5,8,,0,{},{},"easy digest not, calculate later",,0.0,0.0
13,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-01-03,You can re-evaluate it,you can re-evaluate it,[],neutral,[],you can re-evaluate it,,neutral,neutral,You can re-evaluate it,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,- evaluate,4,2,2,,0,{},{},- evaluate,,0.0,0.0
14,CLIF_Bar.json,CLIF_Bar,Endurance Nutrition Bar,CLIF,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-09-21,Delicious but out of taste I want to buy,delicious but out of taste i want to buy,[],neutral,['taste'],delicious but out of taste i want to buy,,positive,positive,Delicious but out of taste I want to buy,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,delicious taste want buy,9,4,5,taste,1,{'taste': 'keyword'},"{'taste': ['delicious', 'taste']}",delicious taste want buy,,0.7914880514144897,0.6331904411315918
16,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Good packaging with box and bubblewrap,good packaging with box and bubblewrap,[],neutral,['packaging'],good packaging with box and bubblewrap,,positive,positive,Good packaging with box and bubblewrap,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,good packaging box bubblewrap,6,4,2,packaging,1,{'packaging': 'keyword'},"{'packaging': ['box', 'bubblewrap', 'packaging']}",good packaging box bubblewrap,,0.9491792321205139,0.7593433856964111
18,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Good quality,good quality,[],neutral,['quality'],good quality,,positive,positive,Good quality,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,good quality,2,2,0,quality,1,{'quality': 'keyword'},{'quality': ['quality']},good quality,,0.77996426820755,0.6239714145660401
19,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Long expiry date,long expiry date,[],neutral,['expiry'],long expiry date,,neutral,neutral,Long expiry date,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,long expiry date,3,3,0,expiry,1,{'expiry': 'keyword'},{'expiry': ['expiry']},long expiry date,,0.0,0.0
20,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Tastes quite sweet,tastes quite sweet,[],neutral,['taste'],tastes quite sweet,,positive,positive,Tastes quite sweet,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,tastes quite sweet,3,3,0,taste,1,{'taste': 'keyword'},"{'taste': ['sweet', 'tastes']}",taste quite sweet,,0.9370449185371399,0.7496359348297119
21,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-10-04,Recommend to drink before or after activity,recommended to drink before or after activity,[],neutral,[],recommended to drink before or after activity,,neutral,neutral,recommended to drink before or after activity,google,[],0,0,[],[],[],[],0.0,none,relevant,General Product Review,recommended drink activity,7,3,4,,0,{},{},recommended drink activity,,0.0,0.0
22,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-08-06,Quality: as expected,quality: as expected,[],neutral,['quality'],quality: as expected,,neutral,neutral,Quality: as expected,google,[],0,0,[],[],[],[],0.0,none,relevant,Product Attribute,quality: expected,3,2,1,quality,1,{'quality': 'explicit'},{'quality': ['quality:']},quality: expect,,0.0,0.0
23,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2025-08-06,Effectiveness: as expected,effectiveness: as expected,[],neutral,['effectiveness'],effectiveness: as expected,,neutral,neutral,Effectiveness: as expected,google,[],0,0,[],[],[],[],0.0,none,relevant,Product Attribute,effectiveness: expected,3,2,1,effectiveness,1,{'effectiveness': 'explicit'},{'effectiveness': ['effectiveness:']},effectiveness: expect,,0.0,0.0
25,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-08-25,Quality: good,quality: good,[],neutral,['quality'],quality: good,,positive,positive,Quality: good,google,[],0,0,[],[],[],[],0.0,none,relevant,Product Attribute,quality: good,2,2,0,quality,1,{'quality': 'explicit'},{'quality': ['quality:']},quality: good,,0.902062177658081,0.7216497421264649
26,HIGH5_Energy_Gel.json,HIGH5_Energy_Gel,Energy Gel,HIGH5,BSN Crisp Bar (1 Pcs) [Free Gift] | Shopee Malaysia,5,2024-08-25,Effectiveness: good,effectiveness: good,[],neutral,['effectiveness'],effectiveness: good,,positive,positive,Effectiveness: good,google,[],0,0,[],[],[],[],0.0,none,relevant,Product Attribute,effectiveness: good,2,2,0,effectiveness,1,{'effectiveness': 'explicit'},{'effectiveness': ['effectiveness:']},effectiveness: good,,0.8768972754478455,0.7015178203582764
